Loyalty_Card,Implied_Gender,Residence_Type,Age,Discount_Prg,Celebrated_Valentines,Pregnancy_Test,Birth_Control,Feminine_Hygiene,ThanksGiving_Shopping,Number_Shopping_trips,Folic_Acid,Prenatal_Vitamins,Prenatal_Yoga,Body_Pillow,Ginger_Ale,Nausea_tablets,Stopped_buying_ciggies,Cigarettes,Smoking_Cessation,Stopped_buying_wine,Wine,Maternity_Clothes,PREGNANT
WalG838404,Male,Home,53,Yes,Yes,Yes,Yes,No,Yes,31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838405,Male,Home,58,Yes,Yes,Yes,Yes,Yes,Yes,79,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838405,Female,Home,29,Yes,Yes,Yes,No,No,Yes,97,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838407,Unknown,Apartment,78,Yes,Yes,Yes,Yes,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838407,Male,Apartment,68,Yes,Yes,Yes,Yes,Yes,Yes,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
WalG838408,Male,Apartment,41,Yes,Yes,Yes,Yes,Yes,Yes,56,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838408,Male,Apartment,49,Yes,Yes,No,Yes,Yes,Yes,101,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838409,Male,Apartment,37,Yes,Yes,Yes,Yes,Yes,Yes,88,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838409,Male,Home,37,Yes,Yes,Yes,Yes,Yes,Yes,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838420,Female,Home,28,Yes,Yes,Yes,Yes,No,Yes,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838420,Female,Home,59,Yes,Yes,Yes,Yes,Yes,Yes,76,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
WalG838422,Male,Home,75,Yes,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838422,Male,Apartment,55,Yes,Yes,Yes,No,Yes,Yes,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838423,Male,Home,41,Yes,Yes,Yes,No,Yes,No,77,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838423,Male,Apartment,77,Yes,Yes,Yes,Yes,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838423,Male,Home,63,Yes,Yes,Yes,Yes,No,Yes,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838423,Male,Apartment,37,Yes,Yes,Yes,No,No,Yes,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838424,Male,Home,35,Yes,Yes,Yes,No,No,Yes,96,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838424,Unknown,Apartment,46,No,Yes,Yes,Yes,Yes,Yes,32,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
WalG838424,Female,Home,35,Yes,Yes,Yes,Yes,No,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838424,Unknown,Home,55,Yes,Yes,Yes,Yes,Yes,Yes,56,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838425,Male,Home,59,Yes,Yes,Yes,Yes,Yes,Yes,33,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838425,Unknown,Apartment,26,Yes,Yes,Yes,Yes,No,Yes,43,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838427,Male,Home,32,Yes,Yes,Yes,Yes,No,Yes,39,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838427,Female,PO Box,38,Yes,Yes,Yes,No,Yes,Yes,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838428,Female,Home,41,Yes,Yes,Yes,Yes,No,Yes,43,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838428,Female,Apartment,43,Yes,Yes,Yes,Yes,Yes,Yes,96,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838429,Male,Home,71,Yes,Yes,Yes,Yes,No,Yes,95,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838429,Male,Apartment,57,Yes,Yes,Yes,Yes,Yes,Yes,86,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838430,Female,Apartment,45,Yes,Yes,Yes,Yes,Yes,Yes,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838430,Female,Home,25,Yes,Yes,Yes,Yes,No,Yes,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838430,Male,Apartment,69,Yes,Yes,Yes,Yes,Yes,Yes,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838430,Male,Apartment,45,Yes,Yes,Yes,Yes,Yes,Yes,79,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838432,Male,Home,72,Yes,Yes,Yes,Yes,Yes,Yes,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838432,Male,Apartment,42,No,Yes,Yes,Yes,No,Yes,99,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
WalG838432,Male,Apartment,42,Yes,Yes,Yes,No,Yes,Yes,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838432,Unknown,Home,24,Yes,Yes,Yes,No,No,Yes,31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838433,Male,Home,31,Yes,Yes,Yes,Yes,Yes,Yes,99,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838433,Female,Apartment,44,Yes,Yes,Yes,No,No,No,32,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
WalG838433,Female,Home,78,Yes,Yes,Yes,Yes,Yes,Yes,90,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838433,Male,Apartment,42,Yes,Yes,Yes,Yes,No,Yes,39,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838433,Female,Apartment,60,Yes,Yes,Yes,Yes,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838433,Male,Home,24,Yes,Yes,Yes,Yes,No,Yes,99,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838433,Male,Home,43,Yes,No,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
WalG838433,Female,Home,51,Yes,Yes,Yes,No,Yes,Yes,85,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838434,Male,Home,37,Yes,Yes,Yes,Yes,No,No,79,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838434,Unknown,Home,77,Yes,Yes,Yes,No,Yes,Yes,101,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838434,Female,Apartment,68,Yes,Yes,Yes,Yes,Yes,Yes,62,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838434,Male,Apartment,46,Yes,Yes,Yes,Yes,Yes,Yes,86,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838434,Male,Home,72,Yes,Yes,Yes,No,Yes,Yes,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838434,Male,Home,33,Yes,Yes,Yes,Yes,Yes,Yes,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838434,Male,Apartment,61,Yes,Yes,Yes,Yes,Yes,Yes,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838434,Female,Home,56,Yes,Yes,Yes,No,No,Yes,98,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838435,Female,Apartment,64,Yes,Yes,Yes,Yes,Yes,Yes,36,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838435,Male,Apartment,50,Yes,No,Yes,Yes,No,Yes,79,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
WalG838435,Male,Home,64,Yes,Yes,Yes,Yes,Yes,Yes,36,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838435,Male,Apartment,40,Yes,Yes,Yes,Yes,Yes,Yes,53,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838437,Male,PO Box,30,Yes,Yes,Yes,Yes,Yes,Yes,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838437,Female,Apartment,28,Yes,Yes,Yes,Yes,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838437,Female,Apartment,56,Yes,Yes,Yes,Yes,Yes,Yes,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
WalG838437,Female,Apartment,55,Yes,Yes,Yes,No,Yes,No,99,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838438,Female,Home,70,Yes,Yes,Yes,Yes,Yes,Yes,62,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838438,Unknown,Home,29,Yes,Yes,Yes,Yes,Yes,Yes,96,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838438,Female,Apartment,27,No,Yes,Yes,Yes,Yes,Yes,77,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
WalG838438,Female,Apartment,51,Yes,Yes,Yes,Yes,No,Yes,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838439,Female,Apartment,50,Yes,No,Yes,No,No,Yes,74,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
WalG838439,Female,PO Box,75,Yes,Yes,Yes,Yes,Yes,Yes,94,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
WalG838439,Male,Home,44,Yes,Yes,Yes,Yes,No,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838439,Male,Apartment,29,Yes,Yes,Yes,Yes,Yes,Yes,39,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838450,Male,Home,72,Yes,Yes,Yes,Yes,Yes,Yes,101,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
WalG838450,Female,Home,50,Yes,Yes,Yes,No,Yes,Yes,78,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838452,Unknown,Home,35,Yes,Yes,Yes,Yes,Yes,Yes,78,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838452,Female,PO Box,58,Yes,Yes,Yes,Yes,No,Yes,87,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
WalG838453,Male,Apartment,27,Yes,Yes,Yes,Yes,No,Yes,45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838453,Male,Apartment,64,Yes,Yes,Yes,Yes,Yes,No,101,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838453,Female,Apartment,33,Yes,Yes,Yes,No,Yes,Yes,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838453,Female,Apartment,35,Yes,Yes,Yes,Yes,Yes,Yes,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838454,Female,Apartment,29,Yes,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838454,Female,Home,44,Yes,Yes,Yes,Yes,Yes,Yes,62,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838454,Female,Home,46,Yes,Yes,Yes,Yes,Yes,Yes,79,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838454,Unknown,Apartment,37,Yes,Yes,No,Yes,Yes,No,51,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838455,Female,Apartment,32,Yes,Yes,Yes,No,No,Yes,87,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838455,Male,Apartment,52,Yes,Yes,Yes,Yes,Yes,Yes,76,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838457,Female,Apartment,76,Yes,Yes,Yes,No,Yes,Yes,93,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838457,Female,Apartment,66,Yes,Yes,Yes,Yes,Yes,Yes,34,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838458,Male,Apartment,61,Yes,Yes,Yes,Yes,Yes,Yes,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838458,Female,Home,50,Yes,Yes,Yes,Yes,No,Yes,63,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838459,Male,PO Box,42,Yes,Yes,Yes,No,Yes,Yes,43,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838459,Female,Apartment,26,No,No,Yes,Yes,No,Yes,26,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
WalG838470,Female,Apartment,78,Yes,Yes,Yes,No,Yes,No,46,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838470,Female,Apartment,50,Yes,Yes,Yes,Yes,No,Yes,90,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838472,Male,Home,65,Yes,Yes,Yes,Yes,Yes,Yes,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838472,Female,Home,67,Yes,Yes,Yes,No,Yes,Yes,101,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838473,Female,Apartment,39,Yes,Yes,Yes,Yes,No,Yes,78,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
WalG838473,Female,Home,78,Yes,Yes,Yes,Yes,Yes,Yes,66,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838473,Female,Apartment,40,Yes,Yes,Yes,Yes,Yes,Yes,43,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838473,Female,Apartment,37,Yes,Yes,Yes,Yes,Yes,Yes,62,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838474,Male,Apartment,75,Yes,Yes,Yes,Yes,Yes,Yes,88,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838474,Male,Home,48,Yes,Yes,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838474,Female,Apartment,64,Yes,Yes,Yes,Yes,Yes,Yes,103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838474,Male,Apartment,61,Yes,Yes,Yes,No,Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838475,Male,PO Box,40,Yes,No,Yes,Yes,No,Yes,87,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
WalG838475,Male,Apartment,34,Yes,Yes,Yes,Yes,Yes,Yes,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838477,Female,Apartment,58,Yes,Yes,Yes,No,No,Yes,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838477,Male,Apartment,30,Yes,Yes,Yes,Yes,No,Yes,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
WalG838478,Female,Apartment,77,Yes,Yes,Yes,Yes,Yes,Yes,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838478,Female,Home,41,Yes,Yes,Yes,Yes,Yes,Yes,59,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838479,Female,Home,51,Yes,Yes,Yes,Yes,Yes,Yes,82,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838479,Unknown,Home,55,Yes,Yes,No,No,Yes,Yes,31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838480,Female,PO Box,52,Yes,Yes,Yes,Yes,Yes,Yes,63,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838480,Male,Apartment,42,Yes,Yes,Yes,Yes,No,Yes,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838482,Male,Apartment,58,Yes,Yes,Yes,Yes,No,Yes,38,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838482,Male,Home,26,Yes,Yes,Yes,No,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
WalG838483,Male,Apartment,39,Yes,Yes,Yes,Yes,No,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838483,Male,Home,56,Yes,Yes,Yes,No,No,Yes,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838483,Female,Home,44,Yes,Yes,Yes,Yes,Yes,Yes,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838483,Unknown,Home,35,Yes,Yes,Yes,No,Yes,Yes,79,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838484,Female,Home,58,Yes,Yes,Yes,No,Yes,Yes,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838484,Unknown,Apartment,52,Yes,Yes,Yes,No,Yes,Yes,87,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838484,Female,Apartment,53,Yes,Yes,Yes,Yes,Yes,Yes,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838484,Female,Home,38,Yes,Yes,Yes,No,Yes,Yes,88,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838485,Male,Apartment,24,Yes,Yes,Yes,No,Yes,Yes,68,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838485,Female,Apartment,78,Yes,Yes,Yes,Yes,Yes,Yes,31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838487,Male,PO Box,41,Yes,Yes,Yes,Yes,Yes,Yes,97,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838487,Male,Home,42,Yes,Yes,Yes,No,No,Yes,96,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838488,Male,Apartment,51,Yes,Yes,Yes,Yes,Yes,Yes,85,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838488,Female,Home,65,Yes,Yes,Yes,Yes,No,Yes,94,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838489,Unknown,Home,48,Yes,Yes,Yes,Yes,Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838489,Male,Apartment,66,Yes,Yes,Yes,Yes,No,Yes,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838490,Female,Apartment,64,Yes,Yes,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838490,Unknown,Home,30,Yes,Yes,Yes,Yes,Yes,Yes,97,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838492,Female,Home,53,Yes,Yes,Yes,Yes,Yes,Yes,57,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838492,Female,Home,52,Yes,Yes,Yes,Yes,Yes,Yes,81,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838493,Female,Apartment,57,Yes,Yes,Yes,Yes,No,Yes,80,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838493,Female,Home,59,Yes,Yes,Yes,Yes,Yes,Yes,103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838493,Unknown,Home,54,Yes,Yes,Yes,Yes,Yes,Yes,54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838493,Male,PO Box,59,Yes,Yes,Yes,Yes,Yes,Yes,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838494,Female,Home,71,Yes,Yes,Yes,Yes,Yes,Yes,76,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838494,Unknown,Home,68,Yes,Yes,Yes,Yes,Yes,Yes,89,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838494,Male,Home,69,Yes,Yes,Yes,No,Yes,Yes,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838494,Male,Apartment,31,Yes,Yes,Yes,Yes,Yes,Yes,88,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838495,Male,Apartment,68,Yes,Yes,Yes,Yes,Yes,Yes,84,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838495,Male,PO Box,24,Yes,Yes,Yes,Yes,Yes,Yes,103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838497,Female,Apartment,70,Yes,Yes,Yes,Yes,Yes,Yes,77,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838497,Female,Home,35,Yes,Yes,Yes,Yes,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838498,Male,Home,36,Yes,Yes,Yes,Yes,No,Yes,55,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838498,Unknown,Home,41,Yes,Yes,Yes,Yes,Yes,Yes,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838499,Female,PO Box,27,Yes,Yes,Yes,No,Yes,Yes,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838499,Male,Apartment,25,Yes,Yes,Yes,No,Yes,Yes,43,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
WalG838500,Male,Home,55,Yes,Yes,Yes,No,Yes,Yes,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838502,Female,Home,61,Yes,Yes,Yes,Yes,No,Yes,31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
